"JURISDICTION","YEAR","Total_Test","Total_Positive","Age_Groups","Location","Fines","Arrests","Charges","Positive_Rate","Rating"
"ACT",2012,1733,37,"All ages(1)","All regions(1)",0,0,0,2.14,"Ineffective"
"ACT",2013,2429,116,"All ages(1)","All regions(1)",0,0,0,4.78,"Ineffective"
"ACT",2014,2520,392,"All ages(1)","All regions(1)",0,0,0,15.56,"Moderate"
"ACT",2015,2090,258,"All ages(1)","All regions(1)",0,0,0,12.34,"Ineffective"
"ACT",2016,2721,444,"All ages(1)","All regions(1)",0,0,0,16.32,"Moderate"
"ACT",2017,2919,504,"All ages(1)","All regions(1)",0,0,0,17.27,"Moderate"
"ACT",2018,3228,877,"All ages(1)","All regions(1)",0,0,0,27.17,"Moderate"
"ACT",2019,4128,852,"All ages(1)","All regions(1)",0,0,0,20.64,"Moderate"
"ACT",2020,2866,834,"All ages(1)","All regions(1)",0,0,0,29.1,"Moderate"
"ACT",2021,808,461,"All ages(1)","All regions(1)",0,0,0,57.05,"Effective"
"ACT",2022,2757,390,"All ages(1)","All regions(1)",0,0,0,14.15,"Ineffective"
"ACT",2023,1050,203,"17-25(26), 26-39(44), 40-64(38), 65 and over(1)","Major Cities of Australia(109)",0,42,203,19.33,"Moderate"
"ACT",2024,1567,227,"17-25(29), 26-39(41), 40-64(35), 65 and over(1)","Major Cities of Australia(106)",0,36,227,14.49,"Ineffective"
"NSW",2008,20333,542,"All ages(1)","All regions(1)",0,0,0,2.67,"Ineffective"
"NSW",2009,24884,613,"All ages(1)","All regions(1)",0,0,0,2.46,"Ineffective"
"NSW",2010,32455,735,"All ages(1)","All regions(1)",0,0,0,2.26,"Ineffective"
"NSW",2011,33528,666,"All ages(1)","All regions(1)",0,0,0,1.99,"Ineffective"
"NSW",2012,31446,705,"All ages(1)","All regions(1)",0,0,0,2.24,"Ineffective"
"NSW",2013,34280,898,"All ages(1)","All regions(1)",0,0,0,2.62,"Ineffective"
"NSW",2014,38830,2096,"All ages(1)","All regions(1)",0,0,0,5.4,"Ineffective"
"NSW",2015,62247,9123,"All ages(1)","All regions(1)",0,0,0,14.66,"Ineffective"
"NSW",2016,89101,8220,"All ages(1)","All regions(1)",0,0,0,9.23,"Ineffective"
"NSW",2017,111176,9273,"All ages(1)","All regions(1)",0,0,0,8.34,"Ineffective"
"NSW",2018,115874,9067,"All ages(1)","All regions(1)",0,0,0,7.82,"Ineffective"
"NSW",2019,166351,9446,"All ages(1)","All regions(1)",0,0,0,5.68,"Ineffective"
"NSW",2020,129618,12652,"All ages(1)","All regions(1)",0,0,0,9.76,"Ineffective"
"NSW",2021,105407,16997,"All ages(1)","All regions(1)",0,0,0,16.13,"Moderate"
"NSW",2022,111052,9527,"All ages(1)","All regions(1)",0,0,0,8.58,"Ineffective"
"NSW",2023,159610,13517,"17-25(346), 26-39(369), 40-64(307), 65 and over(65), 0-16(18)","Inner Regional Australia(374), Major Cities of Australia(419), Outer Regional Australia(207), Remote Australia(78), Unknown(15), Very Remote Australia(12)",4335,0,9182,8.47,"Ineffective"
"NSW",2024,231258,19387,"0-16(23), 17-25(458), 26-39(532), 40-64(425), 65 and over(99)","Inner Regional Australia(483), Major Cities of Australia(507), Outer Regional Australia(255), Remote Australia(97), Unknown(170), Very Remote Australia(25)",7300,0,12087,8.38,"Ineffective"
"NT",2021,1995,273,"All ages(1)","All regions(1)",0,0,0,13.68,"Ineffective"
"NT",2022,1119,181,"All ages(1)","All regions(1)",0,0,0,16.18,"Moderate"
"QLD",2008,10747,216,"All ages(1)","All regions(1)",0,0,0,2.01,"Ineffective"
"QLD",2009,12489,254,"All ages(1)","All regions(1)",0,0,0,2.03,"Ineffective"
"QLD",2010,21655,440,"All ages(1)","All regions(1)",0,0,0,2.03,"Ineffective"
"QLD",2011,25172,825,"All ages(1)","All regions(1)",0,0,0,3.28,"Ineffective"
"QLD",2012,19686,937,"All ages(1)","All regions(1)",0,0,0,4.76,"Ineffective"
"QLD",2013,20787,1300,"All ages(1)","All regions(1)",0,0,0,6.25,"Ineffective"
"QLD",2014,21225,2208,"All ages(1)","All regions(1)",0,0,0,10.4,"Ineffective"
"QLD",2015,39950,7446,"All ages(1)","All regions(1)",0,0,0,18.64,"Moderate"
"QLD",2016,50812,10663,"All ages(1)","All regions(1)",0,0,0,20.99,"Moderate"
"QLD",2017,62098,11697,"All ages(1)","All regions(1)",0,0,0,18.84,"Moderate"
"QLD",2018,67784,14020,"All ages(1)","All regions(1)",0,0,0,20.68,"Moderate"
"QLD",2019,66959,13366,"All ages(1)","All regions(1)",0,0,0,19.96,"Moderate"
"QLD",2020,31595,8871,"All ages(1)","All regions(1)",0,0,0,28.08,"Moderate"
"QLD",2021,48147,9847,"All ages(1)","All regions(1)",0,0,0,20.45,"Moderate"
"QLD",2022,62602,12064,"All ages(1)","All regions(1)",0,0,0,19.27,"Moderate"
"QLD",2023,57099,11853,"All ages(1)","Unknown(1)",0,27,11853,20.76,"Moderate"
"QLD",2024,56662,12063,"All ages(1)","Unknown(1)",0,34,12063,21.29,"Moderate"
"SA",2008,25903,600,"All ages(1)","All regions(1)",0,0,0,2.32,"Ineffective"
"SA",2009,43681,1179,"All ages(1)","All regions(1)",0,0,0,2.7,"Ineffective"
"SA",2010,45124,1699,"All ages(1)","All regions(1)",0,0,0,3.77,"Ineffective"
"SA",2011,44178,2320,"All ages(1)","All regions(1)",0,0,0,5.25,"Ineffective"
"SA",2012,43569,3237,"All ages(1)","All regions(1)",0,0,0,7.43,"Ineffective"
"SA",2013,51179,3737,"All ages(1)","All regions(1)",0,0,0,7.3,"Ineffective"
"SA",2014,49777,4681,"All ages(1)","All regions(1)",0,0,0,9.4,"Ineffective"
"SA",2015,53691,5239,"All ages(1)","All regions(1)",0,0,0,9.76,"Ineffective"
"SA",2016,48690,4310,"All ages(1)","All regions(1)",0,0,0,8.85,"Ineffective"
"SA",2017,49626,4337,"All ages(1)","All regions(1)",0,0,0,8.74,"Ineffective"
"SA",2018,51382,5141,"All ages(1)","All regions(1)",0,0,0,10.01,"Ineffective"
"SA",2019,49062,4985,"All ages(1)","All regions(1)",0,0,0,10.16,"Ineffective"
"SA",2020,34767,5728,"All ages(1)","All regions(1)",0,0,0,16.48,"Moderate"
"SA",2021,27814,4226,"All ages(1)","All regions(1)",0,0,0,15.19,"Moderate"
"SA",2022,64861,5607,"All ages(1)","All regions(1)",0,0,0,8.64,"Ineffective"
"SA",2023,52578,5329,"0-16(9), 17-25(9), 26-39(9), 40-64(9), 65 and over(9), Unknown(9)","Unknown(54)",3254,152,1842,10.14,"Ineffective"
"SA",2024,52721,5333,"0-16(108), 17-25(108), 26-39(108), 40-64(108), 65 and over(108), Unknown(108)","Unknown(648)",3101,120,1879,10.12,"Ineffective"
"TAS",2008,412,211,"All ages(1)","All regions(1)",0,0,0,51.21,"Effective"
"TAS",2011,1678,573,"All ages(1)","All regions(1)",0,0,0,34.15,"Effective"
"TAS",2012,1698,523,"All ages(1)","All regions(1)",0,0,0,30.8,"Effective"
"TAS",2013,1819,639,"All ages(1)","All regions(1)",0,0,0,35.13,"Effective"
"TAS",2014,3431,1969,"All ages(1)","All regions(1)",0,0,0,57.39,"Effective"
"TAS",2015,3738,2318,"All ages(1)","All regions(1)",0,0,0,62.01,"Effective"
"TAS",2016,3722,2154,"All ages(1)","All regions(1)",0,0,0,57.87,"Effective"
"TAS",2017,3730,2152,"All ages(1)","All regions(1)",0,0,0,57.69,"Effective"
"TAS",2018,4005,2408,"All ages(1)","All regions(1)",0,0,0,60.12,"Effective"
"TAS",2019,4826,2487,"All ages(1)","All regions(1)",0,0,0,51.53,"Effective"
"TAS",2020,5219,3273,"All ages(1)","All regions(1)",0,0,0,62.71,"Effective"
"TAS",2021,4384,2618,"All ages(1)","All regions(1)",0,0,0,59.72,"Effective"
"TAS",2022,4467,2209,"All ages(1)","All regions(1)",0,0,0,49.45,"Effective"
"TAS",2023,4925,2223,"Unknown(12)","Unknown(12)",0,0,0,45.14,"Effective"
"TAS",2024,5298,2787,"Unknown(12)","Unknown(12)",0,0,0,52.6,"Effective"
"VIC",2008,25006,438,"All ages(1)","All regions(1)",0,0,0,1.75,"Ineffective"
"VIC",2009,28083,323,"All ages(1)","All regions(1)",0,0,0,1.15,"Ineffective"
"VIC",2010,41642,741,"All ages(1)","All regions(1)",0,0,0,1.78,"Ineffective"
"VIC",2011,25140,760,"All ages(1)","All regions(1)",0,0,0,3.02,"Ineffective"
"VIC",2012,47745,2180,"All ages(1)","All regions(1)",0,0,0,4.57,"Ineffective"
"VIC",2013,39471,2540,"All ages(1)","All regions(1)",0,0,0,6.44,"Ineffective"
"VIC",2014,55908,3749,"All ages(1)","All regions(1)",0,0,0,6.71,"Ineffective"
"VIC",2015,106503,7823,"All ages(1)","All regions(1)",0,0,0,7.35,"Ineffective"
"VIC",2016,95104,9065,"All ages(1)","All regions(1)",0,0,0,9.53,"Ineffective"
"VIC",2017,100475,8252,"All ages(1)","All regions(1)",0,0,0,8.21,"Ineffective"
"VIC",2018,109780,11548,"All ages(1)","All regions(1)",0,0,0,10.52,"Ineffective"
"VIC",2019,176294,11693,"All ages(1)","All regions(1)",0,0,0,6.63,"Ineffective"
"VIC",2020,90749,10256,"All ages(1)","All regions(1)",0,0,0,11.3,"Ineffective"
"VIC",2021,163764,9717,"All ages(1)","All regions(1)",0,0,0,5.93,"Ineffective"
"VIC",2022,167648,10628,"All ages(1)","All regions(1)",0,0,0,6.34,"Ineffective"
"VIC",2023,150036,8813,"17-25(163), 26-39(178), 40-64(160), 65 and over(46), 0-16(1)","Inner Regional Australia(185), Major Cities of Australia(224), Outer Regional Australia(132), Remote Australia(6), Unknown(1)",0,0,0,5.87,"Ineffective"
"VIC",2024,95958,5376,"0-16(2), 17-25(107), 26-39(125), 40-64(106), 65 and over(35), Unknown(1)","Inner Regional Australia(124), Major Cities of Australia(154), Outer Regional Australia(93), Remote Australia(5)",0,0,0,5.6,"Ineffective"
"WA",2008,9823,406,"All ages(1)","All regions(1)",0,0,0,4.13,"Ineffective"
"WA",2009,7565,289,"All ages(1)","All regions(1)",0,0,0,3.82,"Ineffective"
"WA",2010,9773,418,"All ages(1)","All regions(1)",0,0,0,4.28,"Ineffective"
"WA",2011,7637,460,"All ages(1)","All regions(1)",0,0,0,6.02,"Ineffective"
"WA",2012,9124,623,"All ages(1)","All regions(1)",0,0,0,6.83,"Ineffective"
"WA",2013,7265,539,"All ages(1)","All regions(1)",0,0,0,7.42,"Ineffective"
"WA",2014,14513,1104,"All ages(1)","All regions(1)",0,0,0,7.61,"Ineffective"
"WA",2015,29914,2816,"All ages(1)","All regions(1)",0,0,0,9.41,"Ineffective"
"WA",2016,35448,3651,"All ages(1)","All regions(1)",0,0,0,10.3,"Ineffective"
"WA",2017,38576,3311,"All ages(1)","All regions(1)",0,0,0,8.58,"Ineffective"
"WA",2018,40299,4814,"All ages(1)","All regions(1)",0,0,0,11.95,"Ineffective"
"WA",2019,39695,5175,"All ages(1)","All regions(1)",0,0,0,13.04,"Ineffective"
"WA",2020,27795,4919,"All ages(1)","All regions(1)",0,0,0,17.7,"Moderate"
"WA",2021,41409,5326,"All ages(1)","All regions(1)",0,0,0,12.86,"Ineffective"
"WA",2022,43627,6262,"All ages(1)","All regions(1)",0,0,0,14.35,"Ineffective"
"WA",2023,45901,5622,"0-16(5), 17-25(12), 26-39(12), 40-64(12), 65 and over(12), Unknown(85)","Unknown(138)",0,16,5506,12.25,"Ineffective"
"WA",2024,57219,7238,"0-16(5), 17-25(12), 26-39(12), 40-64(12), 65 and over(10), Unknown(95)","Unknown(146)",0,9,6709,12.65,"Ineffective"
